Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
33,BPAT0 1,BPAT0 3,0.6892056455138297,6.389387042311229,8.207905856153673e-05,6225.586578493462,1.0,180.50366763923634,15.472854442344044,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,BPAT0 1,BPAT0 4,0.7232981744674923,6.933575906726708,8.716245809158012e-05,7746.490000314848,1.0,185.08167677006935,19.252854442344045,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,BPAT0 1,CHPD0 0,4.429011047831659,21.57318587496389,3.74342464822934e-05,289.69588987074013,1.0,226.3492088881911,0.72,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,BPAT0 1,DOPD0 0,2.621479877833981,52.24517485989622,2.951290226982789e-05,4596.047197970549,1.0,266.6516103549924,11.422854442344045,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,BPAT0 1,GCPD0 0,0.4065839621941571,4.409690082923493,6.088065879560475e-05,10531.93788659327,1.0,131.56449979669586,26.175708884688092,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,BPAT0 1,GRID0 0,0.21242191522146842,2.355300017582075,3.8836125832322276e-05,10531.93788659327,1.0,73.74026772297837,26.175708884688092,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,BPAT0 1,IPCO0 0,15.168256213296322,70.34099235463171,6.727395493739949e-05,144.84794493537007,1.0,526.5565321364417,0.36,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,BPAT0 2,MT_west0 0,1.9251090526406365,12.952954415488511,0.00018458304902903576,2679.6869813043463,1.0,395.8329345424005,6.66,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,BPAT0 3,BPAT0 5,0.5140714500596391,10.010874052697627,6.200706472964693e-05,11618.297473608545,1.0,217.41547187622504,28.875708884688095,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,BPAT0 3,DOPD0 0,10.951086368263557,136.27936542569387,1.8380046844267367e-05,905.2996558460629,1.0,392.79925364427277,2.25,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,BPAT0 3,GCPD0 0,2.057987977450244,42.603688702681346,2.8947958855695492e-05,5356.498908881242,1.0,273.5525296180039,13.312854442344046,,0.0,False,0.0,inf,0.0,0,inf,,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
