Line,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel,type,g,s_nom_extendable,s_nom_min,s_nom_max,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
11,Arizona0 1,Arizona0 2,3.8180655928412146,15.863852448363152,6.337385670930353e-05,0.0,6.0,254.41287280411532,1.5,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.00029988378919401046,7.217515298376587e-05,0.0,3.3524770199221567,0.00029988378919401046,7.217515298376587e-05,0.0,230.0
12,Arizona0 1,Arizona0 3,15.663842768166356,69.7165620902655,3.4058621266376795e-05,0.0,2.0,402.79367909621277,0.5,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0013178934232564367,0.00029610288786703886,0.0,1.8017010649913325,0.0013178934232564367,0.00029610288786703886,0.0,230.0
13,Arizona0 1,NEVP0 0,7.2616380421386255,194.2062214264024,2.3126289591501985e-05,0.0,1.0,588.6930129720342,11.062854442344046,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0036711951120302912,0.0001372710404941139,0.0,1.223380719390455,0.0036711951120302912,0.0001372710404941139,0.0,230.0
14,Arizona0 1,PACE0 0,4.332154434953734,30.557860340148235,0.00020214100291384728,0.0,6.0,631.0811742763844,6.455897920604915,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0005776533145585678,8.189327854354886e-05,0.0,10.693259054142521,0.0005776533145585678,8.189327854354886e-05,0.0,230.0
15,Arizona0 2,PACE0 0,74.47776568191439,353.8814196271081,3.61774018134261e-05,0.0,1.0,824.2531217041892,0.25,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.006689629860625861,0.0014078972718698374,0.0,1.9137845559302409,0.006689629860625861,0.0014078972718698374,0.0,230.0
16,Arizona0 2,PNM0 0,1.0074305575713194,6.850923749863126,0.00022984646006832731,0.0,14.0,316.0421697158723,12.45179584120983,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.00012950706521480389,1.9044055908720595e-05,0.0,12.158877737614516,0.00012950706521480389,1.9044055908720595e-05,0.0,230.0
17,Arizona0 2,TEPC0 0,3.844758755128607,67.56181883488615,4.5041536361923e-05,0.0,2.0,425.32665787375896,9.45179584120983,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0012771610365762977,7.26797496243593e-05,0.0,2.382697273545727,0.0012771610365762977,7.26797496243593e-05,0.0,230.0
18,Arizona0 3,CISO-SCE0 1,1.0800185519253334,21.121133142072278,4.58581981253943e-05,0.0,4.0,256.21932793632925,24.62570888468809,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.00039926527678775574,2.041622971503466e-05,0.0,2.4258986808333582,0.00039926527678775574,2.041622971503466e-05,0.0,230.0
19,Arizona0 3,IID0 0,1.6250653086438323,25.9447910626799,4.303266554524994e-05,0.0,3.0,249.02178011298216,13.562854442344046,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0004904497365345917,3.071957105186828e-05,0.0,2.2764280073437217,0.0004904497365345917,3.071957105186828e-05,0.0,230.0
20,Arizona0 3,NEVP0 0,4.4643392122197785,28.530331351920157,0.00021984868691782733,0.0,5.0,527.4492524978368,5.725897920604915,,0.0,False,0.0,inf,0.0,0,inf,AC,1.0,-inf,inf,0,0.0005393257344408348,8.439204559961774e-05,0.0,11.629995537953066,0.0005393257344408348,8.439204559961774e-05,0.0,230.0
