"GENERATORLIST"
"Note!!! Please add ' at the beginning of generator ID as a special indicatorof text type."
"GeneratorKey","Name","Bus ID","Bus Name","Bus KV","Unit ID","Generator TypeID","SubType","Long ID","Long Name","ServiceStatus","Commission Date","Retirement Date","DevStatus","Area Name","Region Name","MinCap(MW)","MaxCap(MW)","InitialDispatch(MW)","Save To Binary","State","County","City","Zipcode","FuelType","Technology","BTM","InternalID","EconomicPMin","EconomicPMax"
"441","CerroPrieto1-5","20141","CPU-U5","13.8","'5","1","Geo-BinaryCycle","MX-N/A-N/A","Yuma Axis1GT21",#TRUE#,#1981-11-23#,#2050-12-31#,"Existing","CFE","CA_CFE","0","30","0","YES","MX","NA","NA","NA","Geo","Binary",#FALSE#,"NA","15","30"
"446","CerroPrieto3-2","20109","CPT-U2","13.8","'2","1","Geo-BinaryCycle","MX-N/A-N/A","Cerro Prieto IV4BT25",#TRUE#,#1986-01-09#,#2050-12-31#,"Existing","CFE","CA_CFE","0","110.7","0","YES","MX","NA","NA","NA","Geo","Binary",#FALSE#,"NA","55","110"
"447","CerroPrieto3-1","20108","CPT-U1","13.8","'1","1","Geo-BinaryCycle","MX-N/A-N/A","Mexicali1IC26",#TRUE#,#1986-01-20#,#2050-12-31#,"Existing","CFE","CA_CFE","0","110","53.86","YES","MX","NA","NA","NA","Geo","Binary",#FALSE#,"NA","55","110"
"448","CerroPrieto2-2","20106","CPD-U2","13.8","'2","1","Geo-BinaryCycle","MX-N/A-N/A","Cerro Prieto IV3BT25",#TRUE#,#1987-05-06#,#2050-12-31#,"Existing","CFE","CA_CFE","0","110.7","0","YES","MX","NA","NA","NA","Geo","Binary",#FALSE#,"NA","55","110"
"449","PdteJuarez07","20014","PJZ-U7","18","'7","1","CT-NatGas-Industrial","MX-N/A-N/A","Pdte.Juarez-7",#TRUE#,#1999-06-05#,#2050-12-31#,"Existing","CFE","CA_CFE","81.318","191.37","139.98","YES","MX","NA","NA","NA","NG","Industrial",#FALSE#,"NA","81.318","147.851"
"455","PdteJuarez06","20007","PJZ-U6","15","'6","1","ST-NatGas","MX-N/A-N/A","Pdte. Juarez-6",#TRUE#,#1991-06-10#,#2050-12-31#,"Existing","CFE","CA_CFE","16","160","92.18","YES","MX","NA","NA","NA","NG","N/A",#FALSE#,"NA","16","160"
"456","PdteJuarez05","20006","PJZ-U5","15","'5","1","ST-NatGas","MX-N/A-N/A","Pdte. Juarez-5",#TRUE#,#1991-01-08#,#2050-12-31#,"Existing","CFE","CA_CFE","16","160","144.06","YES","MX","NA","NA","NA","NG","N/A",#FALSE#,"NA","16","160"
"457","CerroPrieto2-1","20105","CPD-U1","13.8","'1","1","Geo-BinaryCycle","MX-N/A-N/A","Cerro Prieto IV4BT25",#TRUE#,#1986-01-13#,#2050-12-31#,"Existing","CFE","CA_CFE","0","110","54.51","YES","MX","NA","NA","NA","Geo","Binary",#FALSE#,"NA","55","110"
"518","Chula_Vista","22617","OY GEN","13.8","'1","1","CT-NatGas-Aero","CA-55540-GEN1","Chula Vista I-GEN1",#TRUE#,#2006-06-08#,#2050-12-31#,"Existing","CISD","CA_CISO","4.375","35","36.5","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","4.375","35"
"530","BorderPeaker","22149","CALPK_BD","13.8","'1","1","CT-NatGas-Industrial","CA-55510-CPP4","CalPeak Power Border Peaker Plant-CPP4",#TRUE#,#2001-10-26#,#2050-12-31#,"Existing","CISD","CA_CISO","44","48","46.5","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","44","48"
"531","EnterprisePeakr","22153","CALPK_ES","13.8","'1","1","CT-NatGas-Industrial","CA-55513-CPP7","CalPeak Power Enterprise Peaker Plant-CPP7",#TRUE#,#2001-10-23#,#2050-12-31#,"Existing","CISD","CA_CISO","6","48","44","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","6","48"
"533","Larkspur1","22074","LRKSPBD1","13.8","'1","1","CT-NatGas-Industrial","CA-55542-CTG1","Larkspur Energy Facility-CTG1",#TRUE#,#2001-09-13#,#2050-12-31#,"Existing","CISD","CA_CISO","37","46","0","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","37","46"
"534","Larkspur2","22075","LRKSPBD2","13.8","'1","1","CT-NatGas-Industrial","CA-55542-CTG2","Larkspur Energy Facility-CTG2",#TRUE#,#2001-09-13#,#2050-12-31#,"Existing","CISD","CA_CISO","37","46","0","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","37","46"
"537","MiramarEnergy1","22486","MEF MR1","13.8","'1","1","CT-NatGas-Industrial","CA-56232-1","Miramar Energy Facility-1",#TRUE#,#2005-07-27#,#2050-12-31#,"Existing","CISD","CA_CISO","44","50","0","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","44","50"
"548","Sycamore1","22120","CARLTNHS","138","'1","1","Bio-ICE","CA-10387-1","Sycamore Energy 1-1",#TRUE#,#2011-05-19#,#2050-12-31#,"Existing","CISD","CA_CISO",".27",".9",".67","YES","CA","NA","NA","NA","Bio","N/A",#FALSE#,"NA",".27",".9"
"550","MM_SD_Miramar1","22448","MESAHGTS","69","'1","1","Bio-ICE","CA-55094-UNT1","MM San Diego-Miramar-UNT1",#TRUE#,#2003-05-21#,#2050-12-31#,"Existing","CISD","CA_CISO",".48","3.2","4.42","YES","CA","NA","NA","NA","Bio","N/A",#FALSE#,"NA",".48","3.2"
"555","Sycamore1-3","22124","CHCARITA","138","'1","1","Bio-ICE","CA-10387-3","Sycamore Energy 1-3",#TRUE#,#2011-05-19#,#2050-12-31#,"Existing","CISD","CA_CISO",".9","3","2","YES","CA","NA","NA","NA","Bio","N/A",#FALSE#,"NA",".9","3"
"556","LakeHodges1","22625","LkHodG1","13.8","'1","3","PS-Hydro","CA-57729-1","Lake Hodges Hydroelectric Facility-1",#TRUE#,#2012-08-26#,#2050-12-31#,"Existing","CISD","CA_CISO","0","20","20","YES","CA","NA","NA","NA","Water","N/A",#FALSE#,"NA","0","18"
"557","LakeHodges2","22626","LkHodG2","13.8","'1","3","PS-Hydro","CA-57729-2","Lake Hodges Hydroelectric Facility-2",#TRUE#,#2012-08-26#,#2050-12-31#,"Existing","CISD","CA_CISO","0","20","20","YES","CA","NA","NA","NA","Water","N/A",#FALSE#,"NA","0","18"
"561","OrangeGrove1","22628","PA GEN1","13.8","'1","1","CT-NatGas-Industrial","CA-56914-CTG1","Orange Grove Peaking Facility-1",#TRUE#,#2010-06-16#,#2050-12-31#,"Existing","CISD","CA_CISO","24","50","49","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","24","50"
"562","OrangeGrove2","22629","PA GEN2","13.8","'1","1","CT-NatGas-Industrial","CA-56914-CTG2","Orange Grove Peaking Facility-2",#TRUE#,#2010-06-16#,#2050-12-31#,"Existing","CISD","CA_CISO","24","50","49","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","24","50"
"565","MiramarEnergy2","22487","MEF MR2","13.8","'1","1","CT-NatGas-Industrial","CA-56232-2","Miramar Energy Facility-2",#TRUE#,#2009-08-07#,#2050-12-31#,"Existing","CISD","CA_CISO","44","50","0","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","44","50"
"566","El_Cajon_EC","23320","EC GEN2","13.8","'1","1","CT-NatGas-Industrial","CA-57001-GEN1","El Cajon Energy Center-GEN1",#TRUE#,#2010-06-16#,#2050-12-31#,"Existing","CISD","CA_CISO","28","48","0","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","28","48"
"567","NRGBorrego","22082","BR GEN1",".21","'1","4","SolarPV-NonTracking","CA-57455-SB1","NRG Borrego Solar One-1",#TRUE#,#2013-02-12#,#2050-12-31#,"Existing","CISD","CA_CISO","0","25.8","14","YES","CA","NA","NA","NA","Solar","Tracking",#FALSE#,"NA","0","25.8"
"604","OcotilloExpress1","23314","OCO GEN G1",".69","'1","4","WT-Onshore","CA-57514-WTG","Ocotillo Express LLC-WTG1|Q493|C493-G1|RpsCA-0081|[CPUC-ID:SD0915][Zone:Imperial]",#TRUE#,#2013-07-30#,#2050-12-31#,"Existing","CISD","CA_CISO","0","132.5","44","YES","CA","NA","NA","NA","Wind","Onshore",#FALSE#,"NA","0","132.5"
"605","OcotilloExpress2","23318","OCO GEN G2",".69","'1","4","WT-Onshore","CA-57514-WTG","Ocotillo Express LLC-WTG2|Q493|C493-G2|RpsCA-0081|[CPUC-ID:SD0915][Zone:Imperial]",#TRUE#,#2013-07-30#,#2050-12-31#,"Existing","CISD","CA_CISO","0","132.5","44","YES","CA","NA","NA","NA","Wind","Onshore",#FALSE#,"NA","0","132.5"
"609","KernRiver1_1","24437","KERNRVR","66","'1","2","Hydro","CA-340-1","Kern River 1-1",#TRUE#,#1907-01-01#,#2050-12-31#,"Existing","CISC","CA_CISO","0","6.4","6","YES","CA","NA","NA","NA","Water","N/A",#FALSE#,"NA","0","6.4"
"610","MorWind","24560","MORWIND1_G1",".48","'1","4","WT-Onshore","CA-??-??","Mor Wind-1",#TRUE#,#2017-01-17#,#2050-12-31#,"Existing","CISC","CA_CISO","0","38.16","25","YES","CA","NA","NA","NA","Wind","Onshore",#FALSE#,"NA","0","38.16"
"615","ZondWind1","24484","ZONDWND1","12","'1","4","WT-Onshore","CA-??-??","Zond Wind-1",#TRUE#,#1985-12-30#,#2050-12-31#,"Existing","CISC","CA_CISO","0","17.1","12","YES","CA","NA","NA","NA","Wind","Onshore",#FALSE#,"NA","0","17.1"
"620","Drews1","24093","MIRALOMW","230","'X0","1","CT-NatGas-Aero","CA-55935-D1","Drews Generating Facility-D1",#TRUE#,#2001-08-14#,#2050-12-31#,"Existing","CISC","CA_CISO","5.6","47.2","45","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","5.6","47.2"
"622","Agua_Mansa","25303","CLTNAGUA","13.8","'1","1","CT-NatGas-Aero","CA-55951-AMP1","Agua Mansa Power Plant-AMP1",#TRUE#,#2003-06-27#,#2050-12-31#,"Existing","CISC","CA_CISO","38","50","45","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","38","50"
"629","Puente_Hills1","24063","HILLGEN","13.8","'D1","1","Bio-ST","CA-10472-GEN1","Puente Hills Energy Recovery-GEN1",#TRUE#,#2017-06-01#,#2050-12-31#,"Existing","CISC","CA_CISO","2.5","50","50","YES","CA","NA","NA","NA","Bio","N/A",#FALSE#,"NA","2.5","50"
"630","EF_Oxnard","24110","OXGEN","13.8","'D1","1","CT-NatGas-Aero","CA-10776-GTG","E F Oxnard Energy Facility-GTG",#TRUE#,#1990-04-13#,#2050-12-31#,"Existing","CISC","CA_CISO","47.223","47.7","45","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","47.223","47.7"
"633","SE_Resource","24139","SERRFGEN","12.47","'D1","1","Bio-ST","CA-50837-GEN1","Southeast Resource Recovery-GEN1",#TRUE#,#1988-01-01#,#2050-12-31#,"Existing","CISC","CA_CISO","3.891","33","30","YES","CA","NA","NA","NA","Bio","N/A",#FALSE#,"NA","3.891","33"
"635","BerryPlaceritaCogen1","24148","TENNGEN1","13.8","'D1","1","CT-NatGas-Aero","CA-52096-GEN1","Berry Placerita Cogen-GEN1",#TRUE#,#1990-03-06#,#2050-12-31#,"Existing","CISC","CA_CISO","21.542","21.76","20","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","21.542","21.76"
"638","LongBeach_GT1","24170","LBEACH12","13.8","'1","1","CT-NatGas-Aero","CA-341-CT1","Long Beach Generation LLC-CT1",#TRUE#,#2007-08-01#,#2050-12-31#,"Existing","CISC","CA_CISO","48","65","35","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","48","65"
"639","LongBeach_GT4","24171","LBEACH34","13.8","'4","1","CT-NatGas-Aero","CA-341-CT4","Long Beach Generation LLC-CT4",#TRUE#,#2007-08-01#,#2050-12-31#,"Existing","CISC","CA_CISO","48","65","35","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","48","65"
"655","WilmingtonCalciner","24020","CARBGEN1","13.8","'1","1","ST-WasteHeat","CA-10601-GEN1","BP Wilmington Calciner-GEN1",#TRUE#,#1982-01-01#,#2050-12-31#,"Existing","CISC","CA_CISO","10.74","17","15","YES","CA","NA","NA","NA","WH","N/A",#FALSE#,"NA","10.74","17"
"656","Coso3_Navy1","24713","CALGEN3G","13.8","'3","1","Geo-BinaryCycle","CA-10873-GEN3","Coso Navy 11GT92.2",#TRUE#,#1987-07-13#,#2050-12-31#,"Existing","CISC","CA_CISO","0","19","25","YES","CA","NA","NA","NA","Geo","Binary",#FALSE#,"NA","9.5","19"
"657","Coso2_Navy1","24712","CALGEN2G","13.8","'2","1","Geo-BinaryCycle","CA-10873-GEN2","Coso Navy 11GT92.2",#TRUE#,#1987-07-13#,#2050-12-31#,"Existing","CISC","CA_CISO","0","19","25","YES","CA","NA","NA","NA","Geo","Binary",#FALSE#,"NA","9.5","19"
"658","Coso1_Navy1","24711","CALGEN1G","13.8","'1","1","Geo-BinaryCycle","CA-10873-GEN1","Coso Navy 11GT92.2",#TRUE#,#1987-07-13#,#2050-12-31#,"Existing","CISC","CA_CISO","0","19","25","YES","CA","NA","NA","NA","Geo","Binary",#FALSE#,"NA","9.5","19"
"662","US_Borax_GEN1","24708","BORAX_G","13.8","'1","1","CT-NatGas-Aero","CA-50115-GEN1","US Borax-GEN1",#TRUE#,#1984-06-01#,#2050-12-31#,"Existing","CISC","CA_CISO","21.78","48","47","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","21.78","48"
"703","BarrePeaker","29309","BARPKGEN","13.8","'1","1","CT-NatGas-Aero","CA-56474-1","Barre Peaker-1",#TRUE#,#2007-09-20#,#2050-12-31#,"Existing","CISC","CA_CISO","47","55","47","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","47","55"
"705","MiraLomaPeaker","29307","MRLPKGEN","13.8","'1","1","CT-NatGas-Aero","CA-56473-1","Mira Loma Peaker-1",#TRUE#,#2007-09-20#,#2050-12-31#,"Existing","CISC","CA_CISO","46","52","47.2","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","46","52"
"706","McGrathPeaker","29306","MCGPKGEN","13.8","'1","1","CT-NatGas-Aero","CA-56471-1","McGrath Peaker-1",#TRUE#,#2012-11-01#,#2050-12-31#,"Existing","CISC","CA_CISO","10.878","49","47.2","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","10.878","49"
"707","GrapelandPeaker","29305","ETWPKGEN","13.8","'1","1","CT-NatGas-Aero","CA-56472-1","Grapeland Peaker-1_29305",#TRUE#,#2007-09-20#,#2050-12-31#,"Existing","CISC","CA_CISO","22","48","46","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","22","48"
"711","Springs1","24840","SPRINGS12","13.8","'1","1","CT-NatGas-Aero","CA-56144-1","Alliance Springs Generating Station-1",#TRUE#,#2002-06-13#,#2050-12-31#,"Existing","CISC","CA_CISO","4.95","11","9","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","4.95","11"
"712","RiversideERC2","24243","RERC2G","13.8","'1","1","CT-NatGas-Aero","CA-56143-2","Riverside Energy Resource Center-2",#TRUE#,#2006-06-01#,#2050-12-31#,"Existing","CISC","CA_CISO","22","55","45","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","22","55"
"713","RiversideERC1","24242","RERC1G","13.8","'1","1","CT-NatGas-Aero","CA-56143-1","Riverside Energy Resource Center-1",#TRUE#,#2006-06-01#,#2050-12-31#,"Existing","CISC","CA_CISO","22","55","45","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","22","55"
"717","Dillon_Wind","29021","WINTEC6","12","'1","4","WT-Onshore","CA-56791-1","Dillon Wind LLC-1",#TRUE#,#2008-04-18#,#2050-12-31#,"Existing","CISC","CA_CISO","0","45","40","YES","CA","NA","NA","NA","Wind","Onshore",#FALSE#,"NA","0","45"
"720","Whitewater_Hill","29061","WHITEWTR","33","'1","4","WT-Onshore","CA-56012-1","Whitewater Hill Wind Partners-1",#TRUE#,#2002-08-31#,#2050-12-31#,"Existing","CISC","CA_CISO","0","61.5","60","YES","CA","NA","NA","NA","Wind","Onshore",#FALSE#,"NA","0","61.5"
"749","Wintec","24804","DEVERS","230","'X0","4","WT-Onshore","CA-50276-EXIS","Wintec Energy Ltd-EXIS",#TRUE#,#2003-12-30#,#2050-12-31#,"Existing","CISC","CA_CISO","0","1.32","2","YES","CA","NA","NA","NA","Wind","Onshore",#FALSE#,"NA","0","1.32"
"820","RiversideERC3","24299","RERC2G3","13.8","'1","1","CT-NatGas-Aero","CA-56143-3","Riverside Energy Resource Center-3",#TRUE#,#2011-04-01#,#2050-12-31#,"Existing","CISC","CA_CISO","22","54","45","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","22","54"
"821","RiversideERC4","24300","RERC2G4","13.8","'1","1","CT-NatGas-Aero","CA-56143-4","Riverside Energy Resource Center-4",#TRUE#,#2011-04-01#,#2050-12-31#,"Existing","CISC","CA_CISO","22","52","45","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","22","52"
"823","Canyon_Pwr1","25211","CanyonGT 1","13.8","'1","1","CT-NatGas-Aero","CA-57027-CPP1","Canyon Power Plant-CPP1",#TRUE#,#2011-09-16#,#2050-12-31#,"Existing","CISC","CA_CISO","20","49","50","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","20","49"
"824","Canyon_Pwr2","25212","CanyonGT 2","13.8","'2","1","CT-NatGas-Aero","CA-57027-CPP2","Canyon Power Plant-CPP2",#TRUE#,#2011-09-16#,#2050-12-31#,"Existing","CISC","CA_CISO","20","49","50","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","20","49"
"825","Canyon_Pwr3","25213","CanyonGT 3","13.8","'3","1","CT-NatGas-Aero","CA-57027-CPP3","Canyon Power Plant-CPP3",#TRUE#,#2011-07-30#,#2050-12-31#,"Existing","CISC","CA_CISO","22","49","50","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","22","49"
"835","Ellwood_1","29004","ELLWOOD","13.8","'R1","1","CT-NatGas-Industrial","CA-8076-01","Ellwood-1",#TRUE#,#2018-07-20#,#2050-12-31#,"Existing","CISC","CA_CISO","16.8","56","45","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","16.8","56"
"857","Lundy1","24784","LUNDY","6.9","'1","2","Hydro","CA-342-1","Lundy 1_LUNDY HYDRO PLANT (AGGREGATE)-1",#TRUE#,#1911-01-01#,#2050-12-31#,"Existing","CISC","CA_CISO","0","3.7","3","YES","CA","NA","NA","NA","Water","N/A",#FALSE#,"NA","0","3.7"
"925","Sycamore_CgnDG","24146","SYCCYN4G","13.8","'4","1","CT-NatGas-Industrial","CA-50134-GTDG","Sycamore Cogeneration-GTDG",#TRUE#,#1987-01-01#,#2050-12-31#,"Existing","CISC","CA_CISO","33.75","75","60","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","33.75","75"
"926","Sycamore_CgnCG","24145","SYCCYN3G","13.8","'3","1","CT-NatGas-Industrial","CA-50134-GTCG","Sycamore Cogeneration-GTCG",#TRUE#,#1987-01-01#,#2050-12-31#,"Existing","CISC","CA_CISO","33.75","75","60","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","33.75","75"
"927","Sycamore_CgnBG","24144","SYCCYN2G","13.8","'2","1","CT-NatGas-Industrial","CA-50134-GTBG","Sycamore Cogeneration-GTBG",#TRUE#,#1987-01-01#,#2050-12-31#,"Existing","CISC","CA_CISO","33.75","75","60","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","33.75","75"
"928","Sycamore_CgnAB","24143","SYCCYN1G","13.8","'1","1","CT-NatGas-Industrial","CA-50134-GTAG","Sycamore Cogeneration-GTAG",#TRUE#,#1987-01-01#,#2050-12-31#,"Existing","CISC","CA_CISO","33.75","75","60","YES","CA","NA","NA","NA","NG","Industrial",#FALSE#,"NA","33.75","75"
"939","RedondoBeach8","24124","REDON8 G","20","'R8","1","ST-NatGas","CA-356-8","AES Redondo Beach LLC-8",#TRUE#,#1967-01-01#,#2022-12-31#,"Existing","CISC","CA_CISO","129.178","486.9","0","YES","CA","NA","NA","NA","NG","N/A",#FALSE#,"NA","129.178","486.9"
"941","RedondoBeach6","24122","REDON6 G","18","'R6","1","ST-NatGas","CA-356-6","AES Redondo Beach LLC-6",#TRUE#,#1957-01-01#,#2022-12-31#,"Existing","CISC","CA_CISO","10","175","0","YES","CA","NA","NA","NA","NG","N/A",#FALSE#,"NA","10","175"
"942","RedondoBeach5","24121","REDON5 G","18","'R5","1","ST-NatGas","CA-356-5","AES Redondo Beach LLC-5",#TRUE#,#1954-01-01#,#2022-12-31#,"Existing","CISC","CA_CISO","10.165","178.9","0","YES","CA","NA","NA","NA","NG","N/A",#FALSE#,"NA","10.165","178.9"
"988","Ivanpah3ST1","24654","COLOSEM3","13.8","'1","4","SolarThermal-CSP6","CA-57075-ST1","Ivanpah 3-ST1_RpsCA-0096_[CPUC-ID:PG6005][Zone:Mountain Pass]",#TRUE#,#2013-12-26#,#2050-12-31#,"Existing","CISC","CA_CISO","0","133","130","YES","CA","NA","NA","NA","Solar","CSP6",#FALSE#,"NA","0","133"
"993","LongBeach_GT2","24170","LBEACH12","13.8","'2","1","CT-NatGas-Aero","CA-341-CT2","Long Beach Generation LLC-CT2",#TRUE#,#2007-08-01#,#2050-12-31#,"Existing","CISC","CA_CISO","48","65","35","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","48","65"
"994","LongBeach_GT3","24171","LBEACH34","13.8","'3","1","CT-NatGas-Aero","CA-341-CT3","Long Beach Generation LLC-CT3",#TRUE#,#2007-08-01#,#2050-12-31#,"Existing","CISC","CA_CISO","48","65","35","YES","CA","NA","NA","NA","NG","Areo",#FALSE#,"NA","48","65"
