generatorkey,ads_name,long id,bus id,bus name,devstatus,balancing_area,region name,plant_id_ads,plant_id_eia,generator_id_ads,lat,lon
17180,prinevillesolarenergyllcpv4525501,OR-63049-GEN1,44603,PRNVL SLR L,Future-Conceptual,PACW,NW_PACW,63049,63049,GEN1,44.163296,-120.5241
16804,grantssolar12,NM-62995-1-2,12034,GRANTS,Under Construction,PNM,SW_PNM,62995,62995,2-Jan,35.14,-107.821
19323,turquoisesolar1,NV-62980-1,640175,TURQ_GEN10,Existing,SPPC,SW_NVE,62980,62980,1,39.59,-119.52
16373,southpeakwind,MT-62939-41001,622574,SOUTHPK WIND,Under Construction,NWMT,NW_NWMT,62939,62939,41001,47.329911,-110.6146
18370,eastlinesolar,_,86226,APFWG Bus,Existing,SRP,SW_SRP,_,62899,,32.84703,-111.5651
18082,johannastorage1,62889_,24207,JOHANNA,Existing,CISC,CA_CISO,6,62889,8-Feb,33.714672,-117.8531
18083,johannastorage2,62889_,24207,JOHANNA,Existing,CISC,CA_CISO,6,62889,8-Feb,33.714672,-117.8531
17190,milfordsolarillcpv6973001,UT-62812-MS1,69786,MILFORD_SG,Future-Planned,PAUT,BS_PACE,62812,62812,MS1,38.490667,-113.0183
18299,wheatridgeiiwt200,62745,86032,APFWG Bus,Future-Conceptual,PACW,NW_PACW,6,62745,7-Feb,45.55975,-119.6338
17185,sigurdsolarllcpv6634501,UT-62666-SGSOL,69782,SIGURD_SG,Future-Conceptual,PAUT,BS_PACE,62666,62666,SGSOL,38.850544,-112.0052
17189,huntersolarllc,UT-62656-HUSOL,69798,HUNTER_SG,Future-Conceptual,PAUT,BS_PACE,62656,62656,HUSOL,39.142217,-111.0511
16761,riodeloroenergycenter,NM-62597-RDO,10344,TOME,Existing,PNM,SW_PNM,62597,62597,RDO,34.692,-106.688
16437,100bekolaflatswd1,WY-62591-1,67687,EKOLA FL WG1,Future-Planned,PAWY,BS_PACE,62591,62591,1,41.932405,-106.3584
16438,100bekolaflatswd2,WY-62591-1,67690,EKOLA FL WG2,Future-Planned,PAWY,BS_PACE,62591,62591,1,41.932405,-106.3584
17090,airportsolarseor,OR-62560-APS,44574,LKVWAPRT PV,Pre-Const Reg Approval-Review,PACW,NW_PACW,62560,62560,APS,42.170176,-120.4023
18029,aquamarinewestside,CA-62547-AQUAM,86071,APFWG Bus,Existing,CIPV,CA_CISO,62547,62547,AQUAM,36.189722,-119.9042
16439,tbflatswindi3,WY-62516-1,67714,TB FLAT1 WG3,Future-Planned,PAWY,BS_PACE,62516,62516,1,42.177245,-106.2341
16440,tbflatswindi2,WY-62516-1,67717,TB FLAT1 WG2,Future-Planned,PAWY,BS_PACE,62516,62516,1,42.177245,-106.2341
16441,tbflatswindi1,WY-62516-1,67720,TB FLAT1 WG1,Future-Planned,PAWY,BS_PACE,62516,62516,1,42.177245,-106.2341
19206,tbflatswindii,WY-62516-1,67724,TB FLAT2 WG1,Future-Planned,PAWY,BS_PACE,62516,62516,1,42.177245,-106.2341
17334,orangecountyenergystorage3,CA--,25663,WDT1396_G,Existing,CISC,CA_CISO,,62499,,33.714896,-117.8543
17333,orangecountyenergystorage2,CA--,25663,WDT1396_G,Existing,CISC,CA_CISO,,62497,,33.715536,-117.8543
16480,palmersolar,CO-62495-20181,78529,WC_PVPLANT,Pre-Const Reg Approval-Review,PSCO,RM_PSCO,62495,62495,20181,38.6299,-104.6526
17183,covemountainsolar2llcpv6972602,UT-62470-GEN01,69794,COVMTN II_SG,Future-Conceptual,PAUT,BS_PACE,62470,62470,GEN01,37.638602,-113.6371
17184,covemountainsolarllcpv6972601,UT-62469-GEN01,69790,COV MTN I_SG,Future-Conceptual,PAUT,BS_PACE,62469,62469,GEN01,37.623123,-113.6192
16784,vistasolarenergycenter,NM-62467-VISTA,10078,COLLGE,Existing,PNM,SW_PNM,62467,62467,VISTA,34.741,-106.655
17536,littlebear4,62464_C010450,365673,Q1128-4SPVG,Existing,CIPV,CA_CISO,6,62464,4-Feb,36.716,-120.415
16481,buschranchph2,CO-62445-WT,71013,BUSCHRNCH_LO,Existing,PSCO,RM_PSCO,62445,62445,WT,37.766416,-104.4295
17088,sagesolarwy,WY-62399-77778,66094,SAGE_SG,Existing,PAWY,BS_PACE,62399,62399,77778,41.77,-111.06
16479,spanishpeakssolar,CO-62379-47301,70994,SPANPKS1_GEN,Future-Planned,PSCO,RM_PSCO,62379,62379,47301,37.378,-104.475
16488,grazingyak,CO-62376-PV1,78528,GYAK_PV1,Existing,PSCO,RM_PSCO,62376,62376,PV1,38.977759,-104.2527
16291,valentineg,CA-62288-VAL01,29800,VALENTINE_G,Existing,CISC,CA_CISO,62288,62288,VAL01,34.90422,-118.3843
18257,blysolarcenter0pvt85,62272_BLY,45056,BLY,Existing,PACW,NW_PACW,6,62272,2-Feb,42.392193,-121.0245
18368,troutcreeksolar,_,70054,BMONT_TP,Existing,PSCO,RM_PSCO,_,62260,,38.8151,-106.1104
