GeneratorKey,Name,plant_name_eia,Long ID,plant_id_eia,Long Name,generator_id,latitude,longitude,merged_type
1157,starwood2,starwoodpowerproject,CA-56639-2,56639,starwoodpowerproject2,1,36.654114,-120.5797,Long_ID
1158,starwood1,starwoodpowerproject,CA-56639-1,56639,starwoodpowerproject1,1,36.654114,-120.5797,Long_ID
1159,panocheec4,panocheenergycenter,CA-56803-1,56803,panocheenergycenter1,1,36.6514,-120.5833,Long_ID
1160,panocheec3,panocheenergycenter,CA-56803-1,56803,panocheenergycenter1,1,36.6514,-120.5833,Long_ID
1161,panocheec2,panocheenergycenter,CA-56803-1,56803,panocheenergycenter1,1,36.6514,-120.5833,Long_ID
1162,panocheec1,panocheenergycenter,CA-56803-1,56803,panocheenergycenter1,1,36.6514,-120.5833,Long_ID
1165,oneill1,oneill,CA-446-1,446,oneillpsmodeledaspumploadunit1,1,37.098671,-121.0477,Long_ID
1166,kerckhoff21,kerckhoff2,CA-682-1,682,kerckhoff21,1,37.071846,-119.558,Long_ID
1167,exchequer,exchequer,CA-409-1,409,exchequer1,1,37.584345,-120.2686,Long_ID
1168,ampchowbio,ampersandchowchillabiomassllc,CA-56706-AMPC,56706,ampersandchowchillabiomassllcampc,AMPC,37.106668,-120.2485,Long_ID
1169,chowchilla201,chowchillaii,CA-56185-IC1,56185,chowchillaiiic1,IC1,37.1073,-120.2485,Long_ID
1177,cpeakpanochepkr,calpeakpowerpanocheno2,CA-55508-CPP2,55508,calpeakpowerpanochepeakerplantcpp2,CPP2,36.652905,-120.5806,Long_ID
1179,panochepeakerct,panochepeaker,CA-55874-8,55874,panochepeakerct,8,36.6535,-120.5783,Long_ID
1180,springgap1,springgap,CA-284-1,284,springgap1,1,38.18653,-120.1117,Long_ID
1183,beardsley1,beardsley,CA-414-1,414,beardsley1,1,38.202569,-120.077,Long_ID
1184,stanislaushc1,stanislaus,CA-285-HC1,285,stanislaushc1,HC1,38.139048,-120.3703,Long_ID
1185,sandbar,sandbarpowerplant,CA-50400-GEN1,50400,sandbarpowerplantgen1,GEN1,38.1861,-120.15,Long_ID
1186,donnells,donnells,CA-415-H1,415,donnellsh1,H1,38.246656,-120.0341,Long_ID
1187,stanislausenrgy,stanislausresourcerecovery,CA-50632-GEN1,50632,covantastanislausenergygen1,GEN1,37.3853,-121.141,Long_ID
1212,tigercreekh2,tigercreek,CA-287-H2,287,tigercreekh2,H1,38.449291,-120.4926,Long_ID
1230,salinasrivercgn,salinasrivercogen,CA-50865-K100,50865,salinasrivercogenerationk100,K100,35.9515,-120.8679,Long_ID
1233,kingcitypeaking,kingcity,CA-55811-CTG1,55811,kingcitypeakingctg1,CTG1,36.224758,-121.1246,Long_ID
