CAMD_STATE,CAMD_FACILITY_NAME,CAMD_PLANT_ID,CAMD_UNIT_ID,CAMD_GENERATOR_ID,CAMD_NAMEPLATE_CAPACITY,CAMD_STATUS,MOD_CAMD_UNIT_ID,MOD_CAMD_GENERATOR_ID,EIA_STATE,EIA_PLANT_NAME,EIA_PLANT_ID,EIA_GENERATOR_ID,PLANT_ID_CHANGE_FLAG,MOD_EIA_PLANT_ID,MOD_EIA_BOILER_ID,MOD_EIA_GENERATOR_ID_BOILER,MOD_EIA_GENERATOR_ID_GEN,MATCH_TYPE_GEN,MATCH_TYPE_BOILER
TX,Copper Station,9,CTG-1,1,70,OPR,CTG-1,1,TX,Copper,9,1,0,9,,,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Greene County,10,1,1,299.2,OPR,1,1,AL,Greene County,10,1,0,10,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Greene County,10,2,2,269.3,OPR,2,2,AL,Greene County,10,2,0,10,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Greene County,10,CT10,GT10,80,OPR,CT10,GT10,AL,Greene County,10,GT10,0,10,,,GT10,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Greene County,10,CT2,GT2,80,OPR,CT2,GT2,AL,Greene County,10,GT2,0,10,,,GT2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Greene County,10,CT3,GT3,80,OPR,CT3,GT3,AL,Greene County,10,GT3,0,10,,,GT3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Greene County,10,CT4,GT4,80,OPR,CT4,GT4,AL,Greene County,10,GT4,0,10,,,GT4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Greene County,10,CT5,GT5,80,OPR,CT5,GT5,AL,Greene County,10,GT5,0,10,,,GT5,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Greene County,10,CT6,GT6,80,OPR,CT6,GT6,AL,Greene County,10,GT6,0,10,,,GT6,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Greene County,10,CT7,GT7,80,OPR,CT7,GT7,AL,Greene County,10,GT7,0,10,,,GT7,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Greene County,10,CT8,GT8,80,OPR,CT8,GT8,AL,Greene County,10,GT8,0,10,,,GT8,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,Greene County,10,CT9,GT9,80,OPR,CT9,GT9,AL,Greene County,10,GT9,0,10,,,GT9,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,
AL,E C Gaston,26,1,1,272,OPR,1,1,AL,E C Gaston,26,1,0,26,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,E C Gaston,26,2,2,272,OPR,2,2,AL,E C Gaston,26,2,0,26,2,2,2,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,E C Gaston,26,3,3,272,OPR,3,3,AL,E C Gaston,26,3,0,26,3,3,3,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,E C Gaston,26,4,ST4,244.8,OPR,4,ST4,AL,E C Gaston,26,ST4,0,26,4,ST4,ST4,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,E C Gaston,26,5,5,952,OPR,5,5,AL,E C Gaston,26,5,0,26,5,5,5,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
AL,Colbert,47,1,1,200,RET,1,1,AL,Colbert,47,1,0,47,1,1,1,3_1_Generator (generators) match on plant and gen IDs  Step 1a: Exact match,"6_1_EnviroAssoc (boilers and generators) match on plant, boiler, and gen IDs Step 2a: Exact match"
